[0.00] 今天我们来讲讲大名鼎鼎的Codex
[381.62] 这样左边的区域就被收起来了
[383.48] 可预览的空间就更大了
[385.36] 不过下面的这块区域
[387.30] 看着也是有点碍事
[388.52] 能不能隐藏它呢
[390.24] 其实也是可以的
[391.48] 我们可以点击这里面的三个点
[394.14] 然后选择其中的
[395.58] Hide Composer就好了
[397.62] 你看这样就好多了
[399.52] 假如说这个时候
[401.02] 你看着界面里面的这两条笔记
[404.58] 觉得非常碍事
[405.64] 你想把它们去掉
[407.96] 这个其实也是很简单的
[409.52] 我们就继续追问就好了
[411.16] 既然要追问
[412.44] 我们就必须要把左侧栏
[414.72] 再次显示出来
[415.64] 这个其实很简单
[417.28] 我们再点一下这个按钮
[419.30] 左侧栏就显示出来了
[421.82] 然后我们就可以在输入框里面
[424.36] 输入我们的问题
[425.16] 把左上角的两条笔记去掉
[428.04] 这个肯定是可以的
[430.64] 不过我这里想给大家演示
[433.26] 另外一个方法
[434.14] 另外一个更加准确
[435.92] 更加方便的方法
[436.92] 我们可以点击这个图标
[439.52] 它叫做annotate
[440.54] 然后我们就可以直接选中
[442.76] 两条笔记这个区域
[444.18] 选中后
[445.06] 输入我们对这个区域的修改意见
[446.90] 很简单
[447.66] 我们的意见就是两个字去掉
[449.84] 然后我们提交请求
[451.60] 好
[452.00] 可以看出请求
[453.04] 已经成功提交上去了
[454.46] 可以看到它一共是发了两块内容
[457.42] 一个是对应的截图
[459.96] 另外一个就是我们具体的要求了
[463.14] 接到了这个请求之后
[464.82] Codex就开始工作了
[466.70] 它应该就会把这块区域给去掉
[469.56] 让我们稍微等待一下
[476.82] 好
[477.26] Codex已经完成了
[479.22] 我们再次打开这个预览区域
[481.52] 看一下效果
[483.62] 可以看出
[484.92] 之前的这块区域确实是没有了
[487.66] Codex已经帮我们解决问题了
[489.54] 看起来annotate这个功能
[491.64] 还是非常方便的
[493.42] 这个时候我们可以再随便点点
[495.54] 这个笔记软件
[496.18] 看看有没有其他
[497.06] 我们需要修复的问题
[498.08] 这里好像确实有个bug
[499.68] 我点击加号按钮的时候
[501.72] 下面是要增加一个新的笔记的
[504.20] 但实际上点了之后
[506.06] 并没有任何的反应
[507.14] 看起来像是一个bug
[509.52] 让我们跟Codex说一下这个问题
[513.54] 我们需要告诉Codex
[514.84] 点击添加按钮之后
[516.34] 笔记列表区域没有任何的反应
[518.98] 请排查下原因
[520.20] 我确定之后再进行修改
[536.50] 好Codex已经排查完了
[538.40] 按照我们的要求
[539.62] 他没有直接去改代码
[541.42] 而是先给出了诊断结果
[543.46] 他猜测这个问题大概率是
[546.04] 因为当前页面的local storage
[548.28] 也就是本地存储被禁用了
[551.62] 没错就是这个原因
[553.18] 说白了就是Codex的右侧预览区
[555.72] 有一些安全限制
[556.74] 导致某些功能无法正常使用
[558.86] 如果我们到独立的浏览器里面
[561.22] 用一用
[561.64] 问题立马就消失了
[563.38] 不信我们试一试
[570.70] 你看这个时候再点击添加按钮
[572.74] 是不是就完全正常了
[574.12] 既然用户是在真实的浏览器里
[576.32] 用我们的软件
[577.10] 而不是在Codex的预览区里用
[579.24] 那这根本就不算是个问题
[581.06] 自然也不需要修
[583.08] 我不知道这算是Codex的一个bug
[584.70] 还是一个feature
[585.42] 我相信OpenAI是把它当成feature来做的
[588.12] 不过实际用下来确实有点像bug
[590.78] 如果你做的也是外部应用
[592.24] 那一定要格外留意这一点
[593.92] 别被预览区给骗了
[595.90] 既然弄清楚了原因
[597.22] 为了避免再受限制
[598.78] 我们后续就在独立的浏览器页面里面
[601.38] 进行测试了
[602.06] 到这里这个最基本的笔记软件
[604.76] 就算是成功跑通了
[606.40] 现在我想回头聊聊
[608.08] 刚才遇到的一个细节
[609.16] 就是Codex提出的请求
[612.44] 有些同学可能会想
[613.60] 如果我把任务交给Codex之后
[616.10] 去忙别的了
[616.96] 没注意到他在等我授权
[618.56] 那Codex岂不会一直卡在那里
[621.52] 等我回来一看啥也没干
[623.48] 白白浪费了大量时间
[625.54] 这有没有办法让他自己做决定
[627.34] 别总是来问我
[628.86] 毕竟谁也不想一直盯着他干活
[631.06] 那也太累了吧
[632.40] 没错
[632.82] 一直盯着看的确实是非常的麻烦
[634.94] 其实Codex早就替我们想到了
[637.20] 解决办法就在输入框的下面
[639.34] 大家看
[640.46] 这里面一共是有三个权限选项
[643.62] 第一种就是我们刚才用的
[645.48] default permissions
[646.82] 在这种模式下
[647.98] 如果Codex需要修改
[649.54] 项目目录之外的文件
[650.84] 或者是需要执行一些
[652.36] 带有安全风险的命令
[653.56] 他就会老老实实地弹出提醒
[655.60] 只有当你点头同意了
[657.52] 他才会继续接着往下干
[659.66] 这种模式的优点是绝对安全
[661.86] 一切尽在掌握
[663.16] 但缺点也非常明显
[664.76] 就是根本离不开人
[666.04] 你得随时给他授权
[668.34] 第二种是autoreview
[669.80] 也就是自动审查
[671.60] 这个模式很聪明
[672.86] 他引入了一个专门负责安全审查的agent
[676.02] 当Codex准备执行操作的时候
[678.54] 这个agent会首先替你把关
[680.64] 安全的直接放行
[682.10] 危险的直接拒绝
[683.30] 只有在极少数连agent
[685.20] 也拿不定主意的情况下
[686.64] 才会弹窗让你来做决定
[688.56] 第三种是full access
[690.30] 顾名思义
[691.12] 这个就是放飞自我模式
[693.50] 全部自动同意
[694.48] Codex想干嘛就干嘛
[696.00] 完全不需要你插手
[697.26] 这个模式确实是最省心的
[699.52] 但也伴随着风险
[701.02] 万一他误删了什么重要数据
[703.12] 你是拦也拦不住的
[704.54] 虽然GPT模型总体上还是非常靠谱的
[707.66] 基本上不太会乱来
[709.38] 但是作为一个负责任的up主
[711.06] 我还是要提醒大家
[712.32] 这个模式没有任何的安全校验
[714.82] 开启前一定要三思了
[716.96] 所以综合看下来
[718.20] 在这三个模式里面
[719.88] autoreview是在效率和安全之间
[722.74] 平衡的最好的
[723.50] 为了避免后面频繁弹窗
[725.68] 要我们点同意
[726.60] 接下来的演示
[727.80] 我们就统一的切换到autoreview模式
[731.32] 既然聊到了这里的权限配置
[733.30] 我们不妨顺便看一下
[735.08] 输入框旁边还有哪一些配置
[737.60] 首先大家留意这里面显示的5.5
[740.60] medium
[741.18] 这代表我们当前使用的是
[743.08] GPT5.5模型
[744.20] 思考深度为medium
[746.10] 也就是中等
[746.84] 我们点开它可以看到思考深度
[749.36] 是可以自由调节的
[750.96] 分为low medium high和extra high
[754.24] 四个级别
[754.86] 思考深度越高
[756.34] codex花费的时间也就越长
[758.26] 消耗的token也就越多
[760.22] 但通常给出来的代码质量
[762.28] 也会更好一些
[763.92] 除了调整思考深度
[765.40] 我们还可以在这里面切换模型
[767.78] 下拉列表里面
[768.84] 除了GPT5.5
[769.88] 还有GPT5.4等等一系列的模型
[772.44] 大家可以根据具体的任务难度
[774.64] 来灵活选择
[775.94] 最后这里面还能设置模型的输出速度
[779.40] 目前是standard
[780.88] 也就是标准的速度
[782.34] 旁边还有一个fast选项
[784.22] 开启fast模式之后
[785.82] 生成的速度会提升到原来的1.5倍
[788.56] 不过代价是token的消耗量
[790.90] 也会相应的增加
[792.24] 具体增加多少
[793.38] 取决于你用的模型
[795.06] 比如说在GPT5.5这个模型下
[797.32] 开启fast模式的话
[798.74] token的消耗量
[799.84] 就直接是标准模式的两倍了
[803.24] 如果你财大气粗
[804.44] token够用
[805.24] 那你完全可以开启快速模式
[807.70] 这样codex干活就更快了
[811.02] 输入框的配置
[812.02] 我们就先研究到这里
[813.36] 现在我们的第一版笔记软件
[815.10] 已经跑通了
[815.90] 实现了最基本的功能
[817.32] 不过为了防止后面新加功能的时候
[820.62] 把代码搞乱
[821.38] 我们最好先用git
[822.92] 把当前的版本保存一下
[824.58] 这样的话
[825.58] 就算是后面出了什么岔子
[827.20] 也能够随时回滚到可用版本
[829.72] 心里有个底
[830.40] 在codex里面
[832.10] 调用终端非常的方便
[833.38] 我们不需要去点什么菜单
[835.04] 直接按下快捷键
[836.62] command加j
[837.44] 大家看右侧的终端面板
[839.80] 就直接弹出来了
[841.08] 在这里面
[842.16] 我们依次输入几条常规的git命令
[845.24] 首先是要执行git init
[847.24] 把当前的项目目录初始化为一个git仓库
[851.38] 然后我们要执行的是git add
[853.36] 把相关的文件都添加到暂存区里面
[856.76] 最后再执行git commit
[858.64] 提交我们的第一次修改
[861.82] 好
[862.18] 这三步敲完之后
[863.38] 我们的代码就有了一个安全的备份版本
[865.66] 接下来我们就可以放心大胆地
[867.98] 继续迭代我们的产品了
[869.18] 终端用完之后
[870.42] 为了不挡着视线
[871.44] 我们只需要再次按下同样的快捷键
[873.84] command加j
[874.52] 就能够把它直接关掉
[875.94] 你看
[876.50] 用快捷键来开关终端
[878.60] 双手完全不需要离开键盘
[880.66] 整个过程非常的丝滑
[882.42] 也是非常的方便
[884.10] 现在我们用codex做了一个
[885.72] 基本可用的笔记软件
[887.10] 而且还用git提交了可用版本
[890.26] 下面我们就来继续迭代这个笔记软件
[892.50] 让它变得更强大
[893.96] 更美观
[895.14] 假设这个时候你看了看这个笔记软件
[897.16] 觉得它的色彩设计不是很好
[899.00] 这里面有很多的绿色元素
[901.16] 你不太喜欢绿色
[902.30] 你想试试蓝色怎么样
[904.64] 这个时候该怎么处理
[905.86] 很简单
[906.96] 你就直接在这里面追问就好了
[909.26] 比如我们可以这么提要求
[913.18] 不过我们先不发送这个请求了
[916.72] 为什么
[917.12] 你仔细看看
[918.50] 我们上一个消息里面
[920.44] 还让codex排查问题来着
[922.12] 但说实话
[923.46] 这其实并不是一个问题
[924.80] 只是codex的预览区有些限制而已
[927.20] 如果我们继续追问的话
[928.90] 这个排查过程
[929.94] 不仅会占用模型的上下文
[931.80] 而且可能还会对codex后续执行
[934.32] 产生一些影响
[935.60] 它没准会继续尝试修复这个问题
[938.18] 把原来没有问题的页面修出问题来
[940.50] 虽然这种情况发生的概率
[942.42] 应该也不会很大
[943.64] 但是能规避的话
[944.90] 就尽量规避
[945.70] 毕竟这个消息
[947.06] 其实一点用也没有
[948.58] 所以我们该怎么办
[950.36] 有一个办法
[951.54] 那就是直接修改上一个消息就可以了
[954.88] 你看这里面有一个编辑按钮
[956.56] 我们点一下
[957.76] 就可以直接修改这个消息了
[959.88] 我们来试试
[963.92] 提交
[966.04] 你看
[966.44] 原来的请求被替换成了我们的这个
[968.98] 这样的话
[969.74] 原来排查问题的消息就消失了
[972.84] 既然消失了
[973.84] 它就不会再占用模型的上下文了
[975.92] 也不会对codex后续执行
[977.64] 产生任何影响
[979.18] 所以很多情况下
[980.32] 这个功能还是很实用的
[982.30] 不过要注意的是
[983.42] codex只支持编辑最后一条消息
[985.78] 至于更靠前的那些消息
[987.66] 它实际上是不支持我们编辑的
[990.14] 前面的那些消息都是没有编辑按钮的
[993.16] 如果你要编辑更靠前的消息
[995.18] 可以考虑使用fork功能来间接实现
[997.68] 这个功能我们后面会讲到
[999.94] 暂时你不必过于关心
[1002.56] 好
[1002.92] codex已经完成任务了
[1004.78] 我们来看看效果
[1007.56] 还可以
[1008.82] 下面我们把这一部分的改动
[1010.62] 也加入到git里面
[1011.74] 之前我们是用命令行来操作git
[1013.90] 这种操作方式准确通用
[1016.46] 不过其实codex也内置了一些git
[1019.48] 操作的功能来供我们使用
[1021.18] 比如我们可以先点击这个图标
[1025.62] 这里面就有一个叫做
[1027.68] environment的区域
[1029.00] 它就跟git的使用密切相关
[1031.70] 我们可以点击这里面的changes按钮
[1034.76] 然后再在这个选择框里面
[1036.78] 选择unstaged的选项
[1038.36] 这里显示的就是所有还没有提交到
[1041.14] 暂存区的代码了
[1042.16] 这基本上也就是codex
[1044.12] 刚才所做的改动
[1045.70] 如果你觉得哪一行有问题
[1047.34] 可以点击旁边的加号
[1048.88] 输入你的要求
[1050.14] 输入完要求之后
[1051.36] 你可以点击这里面的comment按钮
[1053.42] 让codex做出相应的改动
[1055.50] 不过这里我们就不做任何修改了
[1058.02] codex的任务已经完成的很好了
[1059.92] 所以我们取消这个注释
[1062.02] 直接使用git commit提交这次改动
[1064.72] 具体该怎么做呢
[1065.96] 很简单
[1066.62] 直接点击这里面的commit按钮
[1069.06] 输入commit的message就可以了
[1071.62] 我们的commit message
[1072.66] 就是将整体色调改为蓝色
[1075.64] 然后再点击continue
[1077.30] 此时codex就会提交
[1079.04] 当前所有没有提交的改动了
[1081.28] 好
[1081.68] 执行成功了
[1082.48] 我们来验证一下
[1083.46] 先按一下command加j来到终端
[1086.66] 然后再执行git log
[1088.34] 查询git的commit记录
[1090.52] 你看我们的commit确实是生效了
[1093.04] 确认好了之后
[1094.18] 我们按q退出git log
[1096.38] 然后再按command加j来隐藏终端
[1099.40] 到这里这个需求就算是彻底完成了
[1102.60] 假设这个时候
[1103.72] 你感觉蓝色这个主题也不怎么好看了
[1106.46] 越看越不顺眼
[1107.60] 要不再换一个
[1109.88] 没问题
[1110.52] 我们直接提交需求
[1111.94] 将整体色调改为紫色
[1114.26] 改完之后再做一次git commit
[1117.00] 对
[1117.40] 这次我们不自己操作git
[1119.02] 有点麻烦
[1119.78] 直接让codex操作得了
[1121.44] 提交之后
[1122.48] codex就开始干活了
[1124.14] 我们稍微等待一下
[1127.98] 改好了
[1128.58] 我们来看看最后的效果
[1131.32] 不错
[1131.82] 确实改成紫色了
[1133.82] 不过怎么说呢
[1135.38] 你觉得还是不顺眼
[1137.34] 你再想算了
[1138.78] 我要不还是改成一开始的绿色
[1141.94] 这当然是可以的
[1143.58] 照例你可以直接在输入框里面输入
[1146.68] 你的要求
[1147.30] 就是改回原来的绿色
[1149.50] 这个肯定是行的
[1151.02] 只不过这样的话
[1151.88] 模型还得再跑一遍
[1153.00] 有点浪费token
[1154.56] 所以我们就不用这个方法了
[1156.52] 其实我们原来就是绿色
[1158.44] 所以用git把代码回滚到绿色的
[1161.10] 那个版本就可以了
[1162.04] 只不过这种做法其实也是有点缺陷的
[1165.38] 代码确实是回滚了
[1166.68] 但会话内容还是停留在紫色这里
[1169.18] 如果我们希望在当前这个会话
[1171.46] 继续问的话
[1172.26] codex可能会以为
[1173.72] 目前所用的色调是紫色
[1175.42] 从而对后续的任务执行效果
[1177.96] 产生负面影响
[1179.98] 我们能不能把会话和代码同时回滚
[1183.00] 我们就想回滚到改蓝色之前的
[1185.06] 那个版本
[1185.56] 也就是这个版本
[1187.12] 如果有回滚功能的话
[1188.64] 那应该是在这个消息旁边
[1190.60] 有一些相对应的标识
[1192.96] 我们找找
[1195.04] 还真的有一个图标
[1196.52] 有点像
[1196.96] 不过它不叫回滚
[1198.40] 它叫做fork
[1199.50] fork的意思就是
[1200.96] 基于当前的会话
[1202.20] 再复制一个新的出来
[1203.40] 这个新会话就只到
[1205.32] 目前所选的消息为止
[1206.84] 后面的消息全都不保留
[1209.00] 这个就非常符合我们的要求了
[1211.02] 我们其实就希望
[1212.48] 会话到当前的消息为止
[1215.14] 既然会话变了
[1216.12] 代码是不是也会自动回滚呢
[1218.18] 没准也是可以的
[1219.60] 我们来试试
[1220.32] 我们首先点击这个fork图标
[1222.46] 这里弹出两个选项
[1223.68] 给我们选择
[1224.78] 一个是fork into local
[1226.10] 另外一个是fork into new worktree
[1228.48] 这两个选项的最大区别
[1230.24] 在于新会话的代码存放地址不同
[1232.68] 第一个选项会继续使用当前目录
[1235.44] 作为新会话代码存放地址
[1237.06] 第二个选项会创建一个新的目录
[1239.76] 来存放新会话的代码
[1241.40] 你可能现在听得还是有点懵
[1243.12] 没关系
[1243.98] 我来演示一下
[1244.96] 你就知道了
[1245.58] 在演示之前
[1246.74] 我们先把左侧栏打开
[1248.40] 这样你就会看得更清楚一些
[1250.72] 好左侧栏打开了
[1251.78] 我们来重新点击一下这个fork图标
[1255.08] 然后选择第一项
[1256.24] fork into local
[1259.72] 可以看出
[1260.38] codex确实给我们创建了一个新的会话
[1262.88] 并且还在这里标示好了
[1264.82] 这个会话就是从别的会话那里
[1267.08] 复制出来的
[1267.98] 下面我们来看看代码是否也回滚了
[1270.82] 这个很简单
[1271.56] 我们不必看代码
[1272.48] 我们直接看最终的效果就行了
[1274.22] 让我们来看看页面的颜色有没有改变
[1276.86] 可以看出页面的颜色仍然是紫色
[1279.40] 所以代码根本就没有回滚
[1281.86] 没错
[1282.54] 这就是fork into local这个选项的特点
[1285.50] 它只会处理会话内容
[1287.66] 根本就不会对代码做任何修改
[1289.80] 不过还好我们使用了git
[1291.84] 我们可以用git来回滚代码
[1293.62] 我们先按快捷键command加J打开终端
[1296.66] 然后执行命令git log
[1298.80] 确定我们想把代码回滚到哪个commit上
[1301.52] 应该就是这个了
[1303.70] 然后我们复制这个commit的哈希值
[1308.86] 最后执行这个命令
[1311.80] 这样就可以把代码回滚到会话对应的那个版本了
[1314.78] 让我们回到浏览器这里刷新一下页面
[1317.86] 没错
[1318.34] 确实是一开始的绿色版本了
[1320.54] 当然绿的也不是很明显
[1321.96] 只有那么几个模块是绿的
[1323.68] 我对这个色调的表述稍微有点问题
[1325.94] 但无论怎么样肯定是回滚成功了
[1328.26] 相信大家都能看得出来
[1330.20] 这个就是fork into local了
[1331.92] 我们配合git才能把会话和代码
[1334.20] 都回滚到之前的那个状态
[1336.12] 那刚才还有一个选项
[1337.44] 叫做fork into new worktree
[1339.22] 那个选项是用来干什么的呢
[1341.08] 我们不妨来试试
[1342.62] 让我们回到之前的会话里
[1347.20] 点击这个fork图标
[1348.70] 然后再选择fork into new worktree
[1352.70] 注意看codex依然给我们创建了一个新的会话
[1355.60] 而且跟fork into local很像
[1358.08] 这个新的会话也标示出来了
[1360.28] 它就是从别的会话里面复制过来的
[1363.12] 一切看起来似乎都跟那个
[1365.32] fork into local差不多
[1367.50] 那到底什么发生变化了呢
[1369.46] 答案就是我们当前的这个会话
[1371.80] 所对应的项目目录发生了变化
[1373.72] 不信我们来打开终端
[1375.14] 输入pwd
[1376.66] 这个命令就是用来显示当前位置的
[1378.92] 可以看出我们的当前位置就是这个了
[1381.90] 我一开始fork出来的那个会话
[1383.76] 可不是在这个目录里面操作的
[1385.52] 不信的话
[1386.26] 我们回到一开始fork出来的那个会话里
[1389.26] 同样打开终端
[1390.74] 运行一下pwd
[1392.62] 你看它俩的项目目录地址是不同的
[1395.10] 我把这两个地址打在屏幕上
[1397.10] 这样大家就可以看得更清楚一些
[1400.08] 这个就是fork into new worktree的
[1402.14] 一个特性
[1402.66] 它会给fork出来的新会话
[1404.46] 创建一个对应的新目录
[1405.90] 这样新老会话所处理的代码不是一份
[1408.48] 彼此之间互不影响
[1410.24] 非常适合在两个会话
[1411.74] 分别处理两个不同的功能点
[1413.54] 最后做完了再合并到一起就好了
[1416.38] 为什么叫做worktree呢
[1418.20] 是因为它是使用git worktree来实现的
[1420.90] 这个是git的一个特性
[1423.36] 这个要展开讲的话
[1424.44] 又得讲好几分钟
[1425.52] 我们本期是来讲codex的
[1427.16] 不是来讲git的
[1428.14] 所以git worktree在此就跳过了
[1430.40] 感兴趣的同学可以自己查一下
[1433.02] 另外值得一提的是
[1434.24] fork into new worktree
[1435.62] 同样不会回滚代码
[1436.80] 它只是把当前项目目录里面的所有代码
[1439.74] 复制到一个新的目录里
[1440.88] 仅此而已
[1442.22] 好
[1442.54] 这个就是fork的两种形式了
[1444.68] 总结一下
[1445.40] 这两个选项都会复制会话到
[1447.80] 所选消息为止
[1448.70] 也都不会帮你回滚代码
[1450.58] 它们唯一的区别
[1452.06] 仅仅是代码的位置
[1453.40] local是继续沿用原目录
[1456.12] 而new worktree则是开辟了一个
[1458.62] 全新的隔离目录
[1459.78] 主要就是这个区别了
[1461.40] 所以无论是哪一种fork形式
[1463.84] 都不会更改代码
[1465.04] 实际上codex在界面里面也有显示
[1468.14] 我们可以回到一开始的会话
[1470.74] 然后再点击一下这里面的fork图标
[1474.10] 注意到这段话了吗
[1476.28] 其实他想表达的意思就是
[1478.04] fork只负责对话
[1479.48] 不回滚代码
[1480.44] 对
[1480.94] 他说的有点绕
[1482.06] 但其实就是这个意思
[1483.28] 好
[1483.94] fork功能我们终于讲完了
[1485.32] 我们目前只需要第一个
[1486.90] fork into local的会话
[1488.28] 另外一个fork into worktree
[1490.22] 我们暂时不需要
[1491.68] 我们能把这个会话删掉吗
[1493.48] 能
[1493.68] 不过准确来说
[1495.00] 我们可以把这个会话归档
[1496.64] 归档和删除稍微还是有些区别的
[1499.20] 你可以把归档理解为
[1500.78] 暂时隐藏起来了
[1502.24] 而删除那就是删完就没了
[1504.60] 我们来试一下
[1505.58] 我们直接点击会话旁边的图标
[1508.62] 然后再点击confirm
[1510.34] 这个会话就被归档了
[1511.80] 你看这个会话是不是没了
[1513.80] 但跟删除不同的是
[1515.58] 我们还可以找回这个会话
[1517.86] 我们先按command加逗号
[1519.56] 打开设置面板
[1520.86] 再点击里面的archive chats
[1523.62] 在这里我们就可以看到
